0.33882E-04 0.53435E-07 0.00000E+01 195118 0 0 11038 0.32580E+09 0.00000E+01 0.33882E-04 0.00000E+01 0.00000E+01 0
1 3.3216e-05 8.1211e-07 1.2296 0.00021865 3.3216e-05
2 3.358e-05 3.2685e-07 0.69225 0.00013526 3.358e-05
3 3.3992e-05 1.563e-07 0.46248 8.4565e-05 3.3992e-05
4 3.3927e-05 8.3791e-07 1.242 0.00023562 3.3927e-05
5 3.429e-05 3.2132e-07 0.66644 0.00011659 3.429e-05
6 3.3739e-05 1.5753e-07 0.46962 8.4355e-05 3.3739e-05
7 3.38e-05 8.2145e-07 1.2222 0.00020666 3.38e-05
8 3.4292e-05 3.3235e-07 0.68927 0.00011178 3.4292e-05
9 3.3656e-05 1.5537e-07 0.46432 7.6923e-05 3.3656e-05
10 3.2778e-05 8.0273e-07 1.2316 0.00021346 3.2778e-05
11 3.4032e-05 3.418e-07 0.7143 0.00012529 3.4032e-05
12 3.3866e-05 1.5937e-07 0.47332 7.9414e-05 3.3866e-05
13 3.6436e-05 8.8608e-07 1.223 0.00022959 3.6436e-05
14 3.3297e-05 3.2262e-07 0.6891 0.00010676 3.3297e-05
15 3.3982e-05 1.5325e-07 0.45358 7.3509e-05 3.3982e-05
16 3.4289e-05 8.4355e-07 1.2372 0.00026095 3.4289e-05
17 3.421e-05 3.2893e-07 0.68382 0.00012215 3.421e-05
18 3.3898e-05 1.5395e-07 0.45678 7.2419e-05 3.3898e-05
19 3.5329e-05 8.4822e-07 1.2074 0.00023438 3.5329e-05
20 3.3974e-05 3.3323e-07 0.69757 0.00012171 3.3974e-05
21 3.4029e-05 1.5717e-07 0.46454 7.2381e-05 3.4029e-05
22 3.4201e-05 8.152e-07 1.1987 0.0002224 3.4201e-05
23 3.3841e-05 3.3478e-07 0.70357 0.0001178 3.3841e-05
24 3.3933e-05 1.6014e-07 0.47467 7.9841e-05 3.3933e-05
25 3.5342e-05 8.6771e-07 1.2347 0.00023792 3.5342e-05
26 3.3526e-05 3.1367e-07 0.66541 0.00011143 3.3526e-05
27 3.3931e-05 1.5506e-07 0.45961 7.2504e-05 3.3931e-05
28 3.4343e-05 8.2062e-07 1.2017 0.00021166 3.4343e-05
29 3.3762e-05 3.2634e-07 0.68744 0.00011953 3.3762e-05
30 3.4008e-05 1.5789e-07 0.46694 7.7035e-05 3.4008e-05
31 3.3826e-05 8.3253e-07 1.2377 0.00023811 3.3826e-05
32 3.3809e-05 3.3008e-07 0.69436 0.00011584 3.3809e-05
33 3.3513e-05 1.5682e-07 0.47064 8.1152e-05 3.3513e-05
